		CQ	PP		CQ	PP		CQ	PP		CQ	PP
dim		L = 0	t = 0		L = 1	t = 2		L = 2	t = 4		L = 3	t = 6
100	 	108	29.412341		69	13.166601	 	24	9.596395	 	10	10.838663
200	 	"1,151"	351.160187		992	150.45556	 	283	62.894982	 	81	46.67489
300	 	"3,671"	941.800457		"3,529"	711.824192	 	"1,527"	258.866608	 	240	133.752078
500	 	"10,630"	2829.18119		"10,591"	3536.461497	 	"9,678"	1712.055436	 	"3,321"	624.60607

100		108	29.412341		36.11%	55.23%		77.78%	67.37%		90.74%	63.15%
200		1151	351.160187		13.81%	57.15%		75.41%	82.09%		92.96%	86.71%
300		3671	941.800457		3.87%	24.42%		58.40%	72.51%		93.46%	85.80%
500		10630	2829.18119		0.37%	-25.00%		8.96%	39.49%		68.76%	77.92%
